Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
7025899,3313420886,3423975519,'nhnhna0000001','nhnhna000129','Veteran return','Veteran return',0.962
7025900,3313420886,2692046497,'nhnhna0000001','nhnhna000131','Veteran return','Veteran return',0.962
7025901,3313420886,1274983418,'nhnhna0000001','nhnhna000132','Veteran return','Veteran return',0.962
7025902,3313420886,3189898411,'nhnhna0000001','nhnhna000133','Veteran return','Veteran return',0.962
7025903,3313420886,2186316507,'nhnhna0000001','nhnhna000134','Veteran return','Veteran return',0.962
7027120,946347294,2529174606,'nhnhna000002','nhnhna000121','Veteran return','Veteran return',0.966
7027121,946347294,3008885301,'nhnhna000002','nhnhna000122','Veteran return','Veteran return',0.966
7027122,946347294,3423975519,'nhnhna000002','nhnhna000129','Veteran return','Veteran return',0.966
7027123,946347294,2692046497,'nhnhna000002','nhnhna000131','Veteran return','Veteran return',0.956
7027124,946347294,1274983418,'nhnhna000002','nhnhna000132','Veteran return','Veteran return',0.966
7027125,946347294,3189898411,'nhnhna000002','nhnhna000133','Veteran return','Veteran return',0.956
7027126,946347294,2186316507,'nhnhna000002','nhnhna000134','Veteran return','Veteran return',0.956
7028343,2529174606,3008885301,'nhnhna000121','nhnhna000122','Veteran return','Veteran return',0.973
7028344,2529174606,3423975519,'nhnhna000121','nhnhna000129','Veteran return','Veteran return',0.973
7028345,2529174606,2692046497,'nhnhna000121','nhnhna000131','Veteran return','Veteran return',0.973
7028346,2529174606,1274983418,'nhnhna000121','nhnhna000132','Veteran return','Veteran return',0.973
7028347,2529174606,3189898411,'nhnhna000121','nhnhna000133','Veteran return','Veteran return',0.966
7028348,2529174606,2186316507,'nhnhna000121','nhnhna000134','Veteran return','Veteran return',0.966
7029565,3008885301,3423975519,'nhnhna000122','nhnhna000129','Veteran return','Veteran return',0.973
7029566,3008885301,2692046497,'nhnhna000122','nhnhna000131','Veteran return','Veteran return',0.966
7029567,3008885301,1274983418,'nhnhna000122','nhnhna000132','Veteran return','Veteran return',0.973
7029568,3008885301,3189898411,'nhnhna000122','nhnhna000133','Veteran return','Veteran return',0.966
7029569,3008885301,2186316507,'nhnhna000122','nhnhna000134','Veteran return','Veteran return',0.966
7030786,3423975519,2692046497,'nhnhna000129','nhnhna000131','Veteran return','Veteran return',0.966
